route_id,service_id,trip_id,trip_short_name
1,1,1001,IC 1
1,1,1002,IC 1
1,1,1003,IC 1
1,1,1004,IC 1
1,1,1005,IC 1
2,1,2001,IC 2
2,1,2002,IC 2
2,1,2003,IC 2
3,1,3001,IC 5
3,1,3002,IC 5
4,1,4001,IC 6
4,1,4002,IC 6
5,1,5001,IC 8
5,1,5002,IC 8
6,1,6001,IC 21
6,1,6002,IC 21
7,1,7001,IC 51
7,1,7002,IC 51
8,1,8001,IC 61
8,1,8002,IC 61
9,1,9001,IR 13
9,1,9002,IR 13
10,1,10001,IR 15
10,1,10002,IR 15
11,1,11001,IR 16
11,1,11002,IR 16
12,1,12001,IR 17
12,1,12002,IR 17
13,1,13001,IR 26
13,1,13002,IR 26
14,1,14001,IR 27
14,1,14002,IR 27
15,1,15001,IR 36
15,1,15002,IR 36
16,1,16001,IR 37
16,1,16002,IR 37
17,1,17001,IR 46
17,1,17002,IR 46
18,1,18001,IR 75
18,1,18002,IR 75
19,1,19001,IR 90
19,1,19002,IR 90
20,1,20001,RE
20,1,20002,RE
21,13,21001,S1
21,13,21002,S1
21,13,21003,S1
21,13,21004,S1
22,13,22001,S2
22,13,22002,S2
22,13,22003,S2
22,13,22004,S2
23,13,23001,S3
23,13,23002,S3
23,13,23003,S3
24,13,24001,S4
24,13,24002,S4
25,13,25001,S5
25,13,25002,S5
26,13,26001,S6
26,13,26002,S6
27,13,27001,S7
27,13,27002,S7
28,13,28001,S8
28,13,28002,S8
29,13,29001,S9
29,13,29002,S9
30,13,30001,S10
30,13,30002,S10
50,1,50001,ICE 73
50,1,50002,ICE 73
51,1,51001,ICE 74
51,1,51002,ICE 74
52,1,52001,ICE 75
52,1,52002,ICE 75
53,1,53001,EC 6
53,1,53002,EC 6
54,1,54001,EC 88
54,1,54002,EC 88
55,1,55001,TGV 9201
55,1,55002,TGV 9201
56,1,56001,TGV 9211
56,1,56002,TGV 9211
57,1,57001,EC 85
57,1,57002,EC 85
58,1,58001,EN 40463
58,1,58002,EN 40463
