service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20241201,20251213
2,1,1,1,1,1,1,0,20241201,20251213
3,1,1,1,1,1,0,1,20241201,20251213
4,1,1,1,1,1,0,0,20241201,20251213
5,0,0,0,0,0,1,1,20241201,20251213
6,0,0,0,0,0,1,0,20241201,20251213
7,0,0,0,0,0,0,1,20241201,20251213
8,1,0,0,0,0,0,0,20241201,20251213
9,0,1,0,0,0,0,0,20241201,20251213
10,0,0,1,0,0,0,0,20241201,20251213
11,0,0,0,1,0,0,0,20241201,20251213
12,0,0,0,0,1,0,0,20241201,20251213
13,1,1,1,1,1,1,1,20241201,20251213
14,1,1,1,1,1,1,0,20241201,20251213
15,1,1,1,1,1,0,1,20241201,20251213
16,0,1,1,1,1,1,1,20241201,20251213
17,1,1,1,1,0,1,1,20241201,20251213
18,1,1,1,1,1,0,0,20241201,20251213
19,0,0,0,0,0,1,1,20241201,20251213
20,1,1,1,1,1,1,1,20241201,20251213
