trip_id,arrival_time,departure_time,stop_id,stop_sequence
1001,,05:32:00,8506302,1
1001,05:47:00,05:48:00,8506121,2
1001,06:04:00,06:05:00,8505220,3
1001,06:26:00,06:28:00,8505213,4
1001,06:40:00,06:42:00,8503011,5
1001,06:55:00,07:02:00,8503000,6
1001,07:57:00,08:00:00,8507000,7
1001,08:27:00,08:28:00,8502000,8
1001,08:44:00,08:47:00,8501120,9
1001,09:08:00,09:09:00,8501609,10
1001,09:32:00,,8501008,11
1002,,06:32:00,8506302,1
1002,06:47:00,06:48:00,8506121,2
1002,07:04:00,07:05:00,8505220,3
1002,07:26:00,07:28:00,8505213,4
1002,07:40:00,07:42:00,8503011,5
1002,07:55:00,08:02:00,8503000,6
1002,08:57:00,09:00:00,8507000,7
1002,09:27:00,09:28:00,8502000,8
1002,09:44:00,09:47:00,8501120,9
1002,10:08:00,10:09:00,8501609,10
1002,10:32:00,,8501008,11
1003,,07:32:00,8506302,1
1003,07:47:00,07:48:00,8506121,2
1003,08:04:00,08:05:00,8505220,3
1003,08:26:00,08:28:00,8505213,4
1003,08:40:00,08:42:00,8503011,5
1003,08:55:00,09:02:00,8503000,6
1003,09:57:00,10:00:00,8507000,7
1003,10:27:00,10:28:00,8502000,8
1003,10:44:00,10:47:00,8501120,9
1003,11:08:00,11:09:00,8501609,10
1003,11:32:00,,8501008,11
1004,,08:32:00,8506302,1
1004,08:47:00,08:48:00,8506121,2
1004,09:04:00,09:05:00,8505220,3
1004,09:26:00,09:28:00,8505213,4
1004,09:40:00,09:42:00,8503011,5
1004,09:55:00,10:02:00,8503000,6
1004,10:57:00,11:00:00,8507000,7
1004,11:27:00,11:28:00,8502000,8
1004,11:44:00,11:47:00,8501120,9
1004,12:08:00,12:09:00,8501609,10
1004,12:32:00,,8501008,11
1005,,09:32:00,8506302,1
1005,09:47:00,09:48:00,8506121,2
1005,10:04:00,10:05:00,8505220,3
1005,10:26:00,10:28:00,8505213,4
1005,10:40:00,10:42:00,8503011,5
1005,10:55:00,11:02:00,8503000,6
1005,11:57:00,12:00:00,8507000,7
1005,12:27:00,12:28:00,8502000,8
1005,12:44:00,12:47:00,8501120,9
1005,13:08:00,13:09:00,8501609,10
1005,13:32:00,,8501008,11
1006,,10:32:00,8506302,1
1006,10:47:00,10:48:00,8506121,2
1006,11:04:00,11:05:00,8505220,3
1006,11:26:00,11:28:00,8505213,4
1006,11:40:00,11:42:00,8503011,5
1006,11:55:00,12:02:00,8503000,6
1006,12:57:00,13:00:00,8507000,7
1006,13:27:00,13:28:00,8502000,8
1006,13:44:00,13:47:00,8501120,9
1006,14:08:00,14:09:00,8501609,10
1006,14:32:00,,8501008,11
1007,,11:32:00,8506302,1
1007,11:47:00,11:48:00,8506121,2
1007,12:04:00,12:05:00,8505220,3
1007,12:26:00,12:28:00,8505213,4
1007,12:40:00,12:42:00,8503011,5
1007,12:55:00,13:02:00,8503000,6
1007,13:57:00,14:00:00,8507000,7
1007,14:27:00,14:28:00,8502000,8
1007,14:44:00,14:47:00,8501120,9
1007,15:08:00,15:09:00,8501609,10
1007,15:32:00,,8501008,11
1008,,12:32:00,8506302,1
1008,12:47:00,12:48:00,8506121,2
1008,13:04:00,13:05:00,8505220,3
1008,13:26:00,13:28:00,8505213,4
1008,13:40:00,13:42:00,8503011,5
1008,13:55:00,14:02:00,8503000,6
1008,14:57:00,15:00:00,8507000,7
1008,15:27:00,15:28:00,8502000,8
1008,15:44:00,15:47:00,8501120,9
1008,16:08:00,16:09:00,8501609,10
1008,16:32:00,,8501008,11
1009,,13:32:00,8506302,1
1009,13:47:00,13:48:00,8506121,2
1009,14:04:00,14:05:00,8505220,3
1009,14:26:00,14:28:00,8505213,4
1009,14:40:00,14:42:00,8503011,5
1009,14:55:00,15:02:00,8503000,6
1009,15:57:00,16:00:00,8507000,7
1009,16:27:00,16:28:00,8502000,8
1009,16:44:00,16:47:00,8501120,9
1009,17:08:00,17:09:00,8501609,10
1009,17:32:00,,8501008,11
1010,,14:32:00,8506302,1
