route_id,service_id,trip_id,trip_short_name,direction_id
1,1,1001,IC 1,0
1,1,1002,IC 1,0
1,1,1003,IC 1,0
1,1,1004,IC 1,0
1,1,1005,IC 1,0
1,1,1006,IC 1,0
1,1,1007,IC 1,0
1,1,1008,IC 1,0
1,1,1009,IC 1,0
1,1,1010,IC 1,0
2,1,2001,IC 2,0
2,1,2002,IC 2,0
2,1,2003,IC 2,0
2,1,2004,IC 2,0
2,1,2005,IC 2,0
2,1,2006,IC 2,0
2,1,2007,IC 2,0
2,1,2008,IC 2,0
6,1,6001,IC 21,0
6,1,6002,IC 21,0
6,1,6003,IC 21,0
6,1,6004,IC 21,0
6,1,6005,IC 21,0
6,1,6006,IC 21,0
7,1,7001,IC 51,0
7,1,7002,IC 51,0
7,1,7003,IC 51,0
7,1,7004,IC 51,0
7,1,7005,IC 51,0
7,1,7006,IC 51,0
7,1,7007,IC 51,0
8,1,8001,IC 61,0
8,1,8002,IC 61,0
8,1,8003,IC 61,0
8,1,8004,IC 61,0
8,1,8005,IC 61,0
10,1,10001,IR 15,0
10,1,10002,IR 15,0
10,1,10003,IR 15,0
10,1,10004,IR 15,0
10,1,10005,IR 15,0
11,1,11001,IR 16,0
11,1,11002,IR 16,0
11,1,11003,IR 16,0
11,1,11004,IR 16,0
11,1,11005,IR 16,0
12,1,12001,IR 17,0
12,1,12002,IR 17,0
12,1,12003,IR 17,0
12,1,12004,IR 17,0
12,1,12005,IR 17,0
15,1,15001,IR 36,0
15,1,15002,IR 36,0
15,1,15003,IR 36,0
15,1,15004,IR 36,0
15,1,15005,IR 36,0
15,1,15006,IR 36,0
15,1,15007,IR 36,0
21,13,21001,S1,0
21,13,21002,S1,0
21,13,21003,S1,0
21,13,21004,S1,0
21,13,21005,S1,0
21,13,21006,S1,0
21,13,21007,S1,0
21,13,21008,S1,0
21,13,21009,S1,0
21,13,21010,S1,0
22,13,22001,S2,0
22,13,22002,S2,0
22,13,22003,S2,0
22,13,22004,S2,0
22,13,22005,S2,0
22,13,22006,S2,0
22,13,22007,S2,0
22,13,22008,S2,0
22,13,22009,S2,0
22,13,22010,S2,0
27,13,27001,S7,0
27,13,27002,S7,0
27,13,27003,S7,0
27,13,27004,S7,0
27,13,27005,S7,0
27,13,27006,S7,0
27,13,27007,S7,0
27,13,27008,S7,0
27,13,27009,S7,0
27,13,27010,S7,0
