service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20231210,20241214
2,1,1,1,1,1,1,1,20231210,20241214
3,1,1,1,1,1,0,1,20231210,20241214
4,1,1,1,1,1,0,0,20231210,20241214
5,1,1,1,1,1,0,0,20231210,20241214
6,1,1,1,1,1,0,0,20231210,20241214
7,1,1,1,1,1,0,0,20231210,20241214
8,1,1,1,1,1,0,1,20231210,20241214
9,1,1,1,1,1,0,0,20231210,20241214
10,1,1,1,1,1,1,1,20231210,20241214
11,1,1,1,1,1,1,1,20231210,20241214
12,1,1,1,1,1,1,1,20231210,20241214
13,1,1,1,1,1,1,1,20231210,20241214
14,1,1,1,1,1,1,1,20231210,20241214
15,1,1,1,1,1,1,1,20231210,20241214
16,1,1,1,1,1,1,0,20231210,20241214
17,1,1,1,1,1,1,1,20231210,20241214
18,1,1,1,1,1,0,0,20231210,20241214
19,1,1,1,1,1,1,0,20231210,20241214
20,1,1,1,1,1,1,1,20231210,20241214
21,1,1,1,1,1,1,1,20231210,20241214
22,1,1,1,1,0,0,1,20231210,20241214
23,1,1,1,1,1,1,1,20231210,20241214
24,1,1,1,1,1,1,1,20231210,20241214
25,0,1,1,1,1,0,0,20231210,20241214
26,1,1,1,1,1,1,1,20231210,20241214
27,1,1,1,1,1,0,0,20231210,20241214
28,1,1,1,1,1,1,0,20231210,20241214
29,1,1,1,1,1,1,1,20231210,20241214
30,1,1,1,1,1,1,1,20231210,20241214
31,1,1,1,1,1,1,1,20231210,20241214
32,1,1,1,1,1,0,0,20231210,20241214
33,1,1,1,1,1,1,1,20231210,20241214
34,1,1,1,1,1,1,1,20231210,20241214
35,1,1,1,1,1,1,1,20231210,20241214
36,1,1,1,1,1,1,1,20231210,20241214
37,1,1,1,1,1,1,1,20231210,20241214
38,1,1,1,1,1,0,0,20231210,20241214
39,1,1,1,1,1,0,1,20231210,20241214
40,0,0,0,0,0,1,0,20231210,20241214
41,1,1,1,1,1,1,1,20231210,20241214
42,1,1,1,1,1,0,0,20231210,20241214
43,0,0,0,0,0,1,1,20231210,20241214
44,1,1,1,1,1,1,0,20231210,20241214
45,1,1,1,1,1,1,0,20231210,20241214
46,1,1,1,1,1,1,0,20231210,20241214
47,0,0,0,0,0,1,1,20231210,20241214
48,1,1,1,1,1,1,1,20231210,20241214
49,1,1,1,1,1,1,0,20231210,20241214
50,1,1,1,1,1,0,0,20231210,20241214
51,0,0,0,0,0,0,0,20231210,20241214
52,1,1,1,1,1,1,1,20231210,20241214
53,1,1,1,1,1,1,1,20231210,20241214
54,0,0,0,0,0,0,1,20231210,20241214
55,1,1,1,1,1,0,0,20231210,20241214
56,0,0,0,0,0,1,1,20231210,20241214
57,1,1,1,1,1,0,0,20231210,20241214
58,1,0,0,0,0,1,1,20231210,20241214
59,1,1,1,1,1,0,0,20231210,20241214
60,1,1,1,1,1,1,1,20231210,20241214
61,1,1,1,1,1,0,0,20231210,20241214
62,0,0,0,0,1,1,1,20231210,20241214
63,1,1,1,1,1,1,1,20231210,20241214
64,1,1,1,1,1,1,1,20231210,20241214
65,1,1,1,1,1,1,0,20231210,20241214
66,1,1,1,1,1,0,0,20231210,20241214
67,1,1,1,1,1,1,1,20231210,20241214
68,1,1,1,1,1,1,1,20231210,20241214
69,1,1,1,1,1,1,1,20231210,20241214
70,1,1,1,1,1,0,0,20231210,20241214
71,1,1,1,1,1,0,0,20231210,20241214
72,1,1,1,1,1,1,1,20231210,20241214
73,1,1,1,1,1,0,0,20231210,20241214
74,0,0,0,0,0,1,1,20231210,20241214
75,1,1,1,1,1,0,0,20231210,20241214
76,1,1,1,1,1,0,0,20231210,20241214
77,1,1,1,1,1,1,1,20231210,20241214
78,1,1,1,1,1,1,1,20231210,20241214
79,1,1,1,1,1,0,0,20231210,20241214
80,1,1,1,1,1,0,0,20231210,20241214
81,1,1,1,1,1,1,1,20231210,20241214
82,1,1,1,1,1,1,1,20231210,20241214
83,1,1,1,1,1,1,1,20231210,20241214
84,1,1,1,1,1,1,1,20231210,20241214
85,1,1,1,1,1,1,1,20231210,20241214
86,0,0,0,0,0,1,0,20231210,20241214
87,1,1,1,1,1,1,1,20231210,20241214
88,1,1,1,1,1,0,0,20231210,20241214
89,1,1,1,1,1,1,1,20231210,20241214
90,1,1,1,1,1,1,1,20231210,20241214
91,1,1,1,1,0,0,0,20231210,20241214
92,1,1,1,1,1,1,1,20231210,20241214
93,1,1,1,1,1,0,1,20231210,20241214
94,1,1,1,1,1,1,1,20231210,20241214
95,1,1,1,1,1,0,0,20231210,20241214
96,1,1,1,1,1,1,1,20231210,20241214
97,1,1,1,1,1,0,0,20231210,20241214
98,1,1,1,1,1,1,1,20231210,20241214
99,1,1,1,1,1,1,1,20231210,20241214
100,1,1,1,1,1,1,1,20231210,20241214
101,1,1,1,1,1,0,0,20231210,20241214
102,1,1,1,1,1,1,1,20231210,20241214
103,1,0,0,0,0,0,0,20231210,20241214
104,1,1,1,1,1,1,1,20231210,20241214
105,1,1,1,1,1,1,1,20231210,20241214
106,1,1,1,1,1,0,0,20231210,20241214
107,1,1,1,1,1,1,1,20231210,20241214
108,1,1,1,1,1,0,0,20231210,20241214
109,1,1,1,1,1,0,0,20231210,20241214
110,1,1,1,1,1,1,1,20231210,20241214
111,1,1,1,1,1,0,0,20231210,20241214
112,1,1,1,1,1,1,1,20231210,20241214
113,0,0,0,0,0,1,1,20231210,20241214
114,1,1,1,1,1,1,1,20231210,20241214
115,1,1,1,1,1,0,0,20231210,20241214
116,1,1,1,1,1,0,1,20231210,20241214
117,1,1,1,1,1,0,0,20231210,20241214
118,1,1,1,1,1,1,1,20231210,20241214
119,1,1,1,1,1,1,0,20231210,20241214
120,1,1,1,1,1,1,1,20231210,20241214
