trip_id,arrival_time,departure_time,stop_id,stop_sequence
2872,,12:15:00,23428,1
2872,12:23:00,12:24:00,24575,2
2872,12:28:30,12:29:00,24587,3
2872,12:35:00,12:36:00,24599,4
2872,12:40:30,12:41:00,24563,5
2872,12:48:00,12:49:00,24604,6
2872,12:53:00,12:54:00,24628,7
2872,12:58:00,12:59:00,24616,8
2872,13:03:00,13:04:00,18112,9
2872,13:06:30,13:07:00,18100,10
2872,13:13:30,13:14:00,18095,11
2872,13:20:30,13:21:00,18071,12
2872,13:25:30,13:26:00,18069,13
2872,13:35:00,13:39:00,18033,14
2872,13:43:30,13:44:00,18019,15
2872,13:50:30,13:51:00,18007,16
2872,14:05:00,,10938,17
4205,,05:03:00,54817,1
4205,05:06:00,05:07:00,54843,2
4205,05:14:00,05:15:00,54867,3
4205,05:21:00,05:22:00,54879,4
4205,05:26:00,05:27:00,54881,5
4205,05:34:00,05:35:00,54908,6
4205,05:43:00,05:44:00,54922,7
4205,05:53:00,05:54:00,54946,8
4205,06:03:00,06:04:00,54958,9
4205,06:12:00,06:18:00,54972,10
4205,06:27:00,06:28:00,54996,11
4205,06:36:00,06:37:00,55005,12
4205,06:44:00,06:45:00,55017,13
4205,06:53:00,06:54:00,55031,14
4205,06:57:30,06:58:00,55043,15
4205,07:02:00,07:03:00,55110,16
4205,07:06:30,07:07:00,55134,17
4205,07:12:00,07:13:00,55146,18
4205,07:17:30,07:18:00,55158,19
4205,07:23:00,07:24:00,55172,20
4205,07:29:00,07:31:00,55184,21
4205,07:34:30,07:35:00,48076,22
4205,07:39:00,07:40:00,43466,23
4205,07:42:30,07:43:00,43454,24
4205,07:48:00,07:49:00,43442,25
4205,07:51:30,07:52:00,43430,26
4205,07:56:00,07:57:00,43428,27
4205,07:59:30,08:00:00,43416,28
4205,08:08:00,08:28:00,41054,29
4205,08:36:00,08:37:00,41030,30
4205,08:40:30,08:41:00,41028,31
4205,08:43:30,08:44:00,41016,32
4205,08:49:00,08:50:00,40995,33
4205,08:52:30,08:53:00,40983,34
4205,08:57:00,08:58:00,40971,35
4205,09:02:30,09:03:00,42929,36
4205,09:06:30,09:07:00,42943,37
4205,09:12:00,,42967,38
4207,,12:15:00,42967,1
4207,12:20:30,12:21:00,42943,2
4207,12:24:30,12:25:00,42929,3
4207,12:29:00,12:30:00,40971,4
4207,12:33:30,12:34:00,40983,5
4207,12:37:00,12:38:00,40995,6
4207,12:42:30,12:43:00,41016,7
4207,12:45:30,12:46:00,41028,8
4207,12:49:00,12:50:00,41030,9
4207,12:58:00,13:33:00,41054,10
4207,13:41:00,13:42:00,43416,11
4207,13:45:00,13:46:00,43428,12
4207,13:50:00,13:51:00,43430,13
4207,13:55:00,13:56:00,43442,14
4207,14:02:00,14:03:00,43454,15
4207,14:07:00,14:09:00,43466,16
4207,14:14:00,14:15:00,48076,17
4207,14:18:00,14:25:00,55184,18
4207,14:30:00,14:31:00,55172,19
4207,14:37:00,14:38:00,55158,20
4207,14:44:00,14:45:00,55146,21
4207,14:48:00,14:49:00,55134,22
4207,14:56:00,15:04:00,55110,23
4207,15:08:00,15:09:00,55043,24
4207,15:13:00,15:14:00,55031,25
4207,15:22:00,15:23:00,55017,26
4207,15:30:00,15:31:00,55005,27
4207,15:39:00,15:40:00,54996,28
4207,15:49:00,15:50:00,54972,29
4207,15:58:00,16:05:00,54958,30
4207,16:14:00,16:15:00,54946,31
4207,16:23:00,16:24:00,54922,32
4207,16:32:00,16:33:00,54908,33
4207,16:41:00,16:48:00,54881,34
4207,16:53:00,16:54:00,54879,35
4207,17:00:00,17:01:00,54867,36
4207,17:08:00,17:09:00,54843,37
4207,17:12:00,,54817,38
4335,,12:50:00,45153,1
4335,12:56:30,12:57:00,45232,2
4335,13:03:30,13:04:00,45256,3
4335,13:09:00,13:10:00,45270,4
4335,13:16:00,13:17:00,45294,5
4335,13:25:00,13:26:00,45323,6
4335,13:34:30,13:35:00,45359,7
4335,13:39:30,13:40:00,45361,8
4335,13:46:00,13:47:00,45373,9
4335,13:56:30,13:57:00,45397,10
4335,14:04:00,14:05:00,45438,11
4335,14:11:00,,45452,12
4331,,02:35:00,32663,1
4331,03:11:00,03:21:00,45048,2
4331,03:35:00,03:37:00,45086,3
4331,03:47:00,03:48:00,45103,4
4331,03:56:00,03:57:00,45127,5
4331,04:08:00,04:35:00,45153,6
4331,04:42:30,04:43:00,45232,7
4331,04:50:30,04:51:00,45256,8
4331,04:57:00,04:58:00,45270,9
4331,05:03:30,05:04:00,45294,10
4331,05:12:00,05:13:00,45323,11
4331,05:21:30,05:22:00,45359,12
4331,05:26:30,05:27:00,45361,13
4331,05:33:00,05:34:00,45373,14
4331,05:43:30,05:44:00,45397,15
4331,05:51:00,05:52:00,45438,16
4331,05:58:00,06:14:00,45452,17
4331,06:21:00,06:22:00,45464,18
4331,06:29:00,06:30:00,45488,19
4331,06:36:00,06:37:00,45505,20
4331,06:43:00,,45531,21
4361,,06:55:00,44329,1
4361,07:01:00,07:02:00,44305,2
4361,07:06:00,07:07:00,44290,3
4361,07:12:00,07:13:00,44288,4
4361,07:18:00,07:19:00,44276,5
4361,07:28:00,07:34:00,44240,6
4361,07:51:00,07:52:00,44197,7
4361,07:57:30,07:58:00,44185,8
4361,08:02:30,08:03:00,44173,9
4361,08:10:00,,41444,10
4308,,19:40:00,32015,1
4308,19:44:30,19:45:00,47668,2
4308,19:49:00,19:50:00,31982,3
4308,19:54:30,19:55:00,31968,4
4308,20:00:00,20:01:00,31944,5
4308,20:05:30,20:06:00,44018,6
4308,20:11:00,20:12:00,44020,7
4308,20:14:30,20:15:00,43997,8
4308,20:17:30,20:18:00,44032,9
4308,20:23:00,20:24:00,44044,10
4308,20:27:30,20:28:00,44056,11
4308,20:34:00,20:35:00,44068,12
4308,20:40:30,20:41:00,44070,13
4308,20:49:00,20:50:00,44094,14
4308,21:01:30,21:02:00,44123,15
4308,21:10:00,,41195,16
7569,,07:09:00,50691,1
7569,07:18:00,07:19:00,61224,2
7569,07:27:00,07:28:00,61250,3
7569,07:37:00,07:38:00,60309,4
7569,07:44:30,07:45:00,61585,5
7569,07:49:00,07:50:00,61573,6
7569,07:55:30,07:56:00,61559,7
7569,08:01:00,08:02:00,61535,8
7569,08:06:30,08:07:00,61523,9
7569,08:12:00,08:13:00,61511,10
7569,08:16:30,08:17:00,61509,11
7569,08:23:00,08:24:00,61494,12
7569,08:29:30,08:30:00,61470,13
7569,08:36:30,08:37:00,61456,14
7569,08:41:30,08:42:00,61444,15
7569,08:49:00,08:50:00,61420,16
7569,08:55:30,08:56:00,61418,17
7569,09:00:30,09:01:00,61377,18
7569,09:09:00,09:10:00,61339,19
7569,09:20:00,09:21:00,70835,20
7569,09:27:00,09:28:00,71011,21
7569,09:39:00,,71059,22
9477,,19:55:00,12613,1
9477,20:02:00,20:03:00,12637,2
9477,20:10:00,20:11:00,12687,3
9477,20:17:30,20:18:00,12699,4
9477,20:33:00,20:34:00,12728,5
9477,20:42:00,20:43:00,12742,6
9477,20:52:00,20:53:00,12766,7
9477,21:00:00,21:01:00,12778,8
9477,21:07:00,21:12:00,12792,9
9477,21:20:00,21:21:00,12819,10
9477,21:28:00,21:30:00,12833,11
9477,21:39:00,21:40:00,12857,12
9477,21:47:00,21:48:00,12871,13
9477,21:57:00,22:02:00,12895,14
9477,22:14:00,22:18:00,12924,15
9477,22:21:30,22:22:00,12936,16
9477,22:29:00,,12948,17
9476,,15:40:00,12948,1
9476,15:45:30,15:46:00,12936,2
9476,15:52:00,16:04:00,12924,3
9476,16:10:00,16:11:00,12912,4
9476,16:17:00,16:18:00,12895,5
9476,16:27:00,16:28:00,12871,6
9476,16:36:00,16:37:00,12857,7
9476,16:46:00,16:47:00,12833,8
9476,16:54:00,16:55:00,12819,9
9476,17:03:00,17:08:00,12792,10
9476,17:14:00,17:15:00,12778,11
9476,17:22:00,17:23:00,12766,12
9476,17:32:00,17:33:00,12742,13
9476,17:41:00,17:42:00,12728,14
9476,17:53:30,17:54:00,12699,15
9476,18:02:00,18:09:00,12687,16
9476,18:17:00,18:18:00,12637,17
9476,18:23:30,18:24:00,27747,18
9476,18:26:00,,12613,19
4321,,14:35:00,45452,1
4321,14:41:00,14:42:00,47319,2
4321,14:46:30,14:47:00,41884,3
4321,14:56:00,14:57:00,41860,4
4321,15:05:00,,41846,5
4322,,15:18:00,41846,1
4322,15:28:00,15:29:00,41860,2
4322,15:37:30,15:38:00,41884,3
4322,15:42:00,15:43:00,47319,4
4322,15:50:00,,45452,5
4340,,06:00:00,45153,1
4340,06:07:30,06:08:00,45127,2
4340,06:15:00,06:16:00,45103,3
4340,06:25:00,06:26:00,45086,4
4340,06:33:30,06:34:00,45062,5
4340,06:42:00,06:43:00,45048,6
4340,06:49:30,06:50:00,45024,7
4340,06:55:30,06:56:00,45000,8
4340,07:04:00,07:05:00,44989,9
4340,07:13:00,07:14:00,32742,10
4340,07:24:00,,32663,11
2611,,20:24:00,11906,1
2611,20:37:00,20:38:00,25256,2
2611,20:40:00,20:41:00,25282,3
2611,20:50:00,20:51:00,25309,4
2611,21:02:00,21:03:00,25323,5
2611,21:13:00,21:19:00,25347,6
2611,21:28:00,21:40:00,25361,7
2611,21:51:00,21:52:00,25385,8
2611,22:01:00,22:02:00,25402,9
2611,22:11:00,22:12:00,25426,10
2611,22:21:00,,21834,11
5213,,04:25:00,53174,1
5213,04:31:00,04:32:00,53203,2
5213,04:37:30,04:38:00,53227,3
5213,04:46:00,04:47:00,53239,4
5213,04:54:00,04:55:00,53241,5
5213,05:00:30,05:01:00,53253,6
5213,05:06:00,05:07:00,53265,7
5213,05:16:00,05:18:00,53291,8
5213,05:22:30,05:23:00,53318,9
5213,05:28:00,05:29:00,53332,10
5213,05:32:30,05:33:00,53356,11
5213,05:37:00,05:38:00,53370,12
5213,05:42:30,05:43:00,53382,13
5213,05:48:00,05:50:00,53394,14
5213,05:52:30,05:53:00,53435,15
5213,05:58:00,05:59:00,53411,16
5213,06:02:30,06:03:00,53409,17
5213,06:07:00,06:08:00,53423,18
5213,06:14:00,06:22:00,40402,19
5213,06:31:00,,40373,20
4083,,04:11:00,45323,1
4083,04:21:30,04:22:00,44496,2
4083,04:27:30,04:28:00,44484,3
4083,04:33:30,04:34:00,44472,4
4083,04:39:00,04:51:00,44458,5
4083,04:58:30,04:59:00,44434,6
4083,05:10:00,05:17:00,44408,7
4083,05:23:30,05:24:00,44379,8
4083,05:27:30,05:28:00,44381,9
4083,05:33:30,05:34:00,44355,10
4083,05:41:00,05:42:00,44329,11
4083,05:47:30,05:48:00,44305,12
4083,05:51:30,05:52:00,44290,13
4083,05:55:00,05:56:00,44288,14
4083,05:59:30,06:00:00,44276,15
4083,06:08:00,06:09:00,44240,16
4083,06:26:00,06:27:00,44197,17
4083,06:32:30,06:33:00,44185,18
4083,06:37:30,06:38:00,44173,19
4083,06:45:00,,41444,20
