route_id,service_id,trip_id,trip_short_name
1,1,2872,R
2,2,4205,R
3,2,4207,R
4,2,4335,R
5,3,4331,R
6,4,4361,R
7,2,4308,R
8,2,7569,R
9,2,9477,R
10,2,9476,R
11,5,4321,R
12,6,4322,R
13,7,4340,R
14,2,2611,R
15,2,5213,R
16,8,4083,R
17,2,3629,R
18,2,3622,R
19,2,9576,R
20,2,9552,R
21,7,4044,R
22,7,4371,R
23,7,4374,R
21,7,4046,R
24,9,2423,R
12,10,4318,R
25,2,6444,R
26,2,9370,R
27,11,1655,IR
28,2,9343,R
29,2,2569,R
30,2,361,R
31,2,4362,R
19,2,9578,R
30,2,365,R
32,11,1831,IR
33,2,405,IR-N
34,2,9215,R-E
35,2,2703,R
36,7,6501,R
37,2,5215,R
38,2,9123,R
39,2,7945,R-M
40,12,3111,R
41,2,8151,R
42,13,1641,IR-N
43,14,2386,R
44,15,8804,R
45,2,360,R
46,2,3626,R
47,2,1682,IR
48,16,2083,R
49,2,37656,R
50,17,3118,R
8,18,7575,R
51,2,4008,R-E
30,2,363,R
52,2,1589,IR
53,2,9532,R
54,19,9910,R-E
55,2,2070,R
56,2,2382,R
57,2,9553,R
58,18,5013,R
59,20,9666,R
60,11,1660,IR
61,2,7943,R-M
62,2,1597,IR
63,21,8588,R
64,2,4546,R
65,2,2203,R
66,22,4525,R
67,23,3122,R
68,2,9272,R
69,2,7964,R-M
70,2,3030,R
64,18,4544,R
71,24,4655,R
72,8,6454,R
73,2,3623,R
74,2,5464,R
75,2,7940,R-M
76,14,9166,R
77,2,9012,R
75,2,7944,R-M
78,2,1832,IR
79,8,6457,R
53,2,9530,R
80,2,9265,R-E
81,3,4650,R
82,11,1661,IR
83,2,4105,R
84,2,9358,R
85,2,2303,R
77,8,9386,R
86,2,7367,R
87,25,1533,IR
88,2,473,IR-N
89,2,5032,R
90,2,536,IC
91,2,9301,R
92,2,7948,R-M
93,2,5553,R
65,2,2205,R
94,14,9167,R
95,26,5723,R
96,27,4705,R
97,24,4652,R
98,2,5540,R
99,2,9262,R-E
100,28,5016,R
76,29,9170,R
101,30,461,IR-N
39,2,7901,R-M
102,2,531,IC
34,2,9201,R-E
64,2,4550,R
103,2,1830,IR
104,1,2873,R
105,28,9068,R
106,2,2022,R
107,2,5301,R
108,8,4580,R
109,31,8806,R
110,2,4007,R-E
111,21,1821,IR-N
112,32,4074,R
47,33,1584,IR
113,28,9135,R
114,34,1968,IR
115,28,9485,R
116,2,6412,R
117,2,572,IC
118,2,9613,R
119,2,1644,IR-N
120,8,9383,R
121,2,5605,R
122,35,9610,R
123,2,9107,R
124,2,522,IC
125,2,4547,R
126,2,1824,IR
127,36,9580,R
128,37,8360,R
129,2,2620,R
130,2,9005,R
131,8,4082,R
132,2,2627,R
85,38,2301,R
133,39,5720,R
134,2,9214,R-E
73,2,3627,R
135,2,9573,R
136,7,5711,R
92,2,7966,R-M
45,2,368,R
137,2,9022,R
138,2,3089,R
139,11,1656,IR
140,15,8805,R
141,28,9266,R-E
142,2,5554,R
143,1,2521,R-E
144,2,4505,R
145,2,5474,R
146,15,8818,R
147,2,3027,R
148,2,5533,R
63,2,8584,R
149,2,2502,R
150,2,8444,R
151,2,9114,R
152,2,4520,R
153,2,9611,R
154,8,2515,R
155,40,4026,R
156,15,8036,R
157,31,1972,IR
158,18,9382,R
18,2,3620,R
159,7,4045,R
160,41,2700,R
161,42,4484,R
98,43,5534,R
162,44,2854,R
159,2,4043,R
163,3,4314,R
164,29,1992,IR-N
165,2,4010,R
45,2,358,R
166,2,4149,R
29,2,2567,R
167,14,2708,R
46,2,3630,R
168,2,9217,R-E
169,2,5467,R
170,28,9064,R
125,2,4543,R
171,2,9213,R-E
172,2,1882,IR
173,2,5054,R
174,2,9259,R-E
175,2,9028,R
38,2,9121,R
176,45,2088,R
65,2,2213,R
177,35,2042,R
178,8,3514,R
179,2,3042,R
74,2,5468,R
180,2,687,IR
181,2,9575,R
47,2,1582,IR
182,2,4147,R
183,2,4104,R
184,28,1595,IR
60,2,1662,IR
185,2,9103,R
186,2,5102,R
187,7,5701,R
188,2,4501,R
61,2,7941,R-M
189,1,9475,R
190,2,1883,IR
191,46,9505,R
192,2,7039,R
193,2,3041,R
194,47,5623,R
195,2,7364,R
196,48,5433,R
197,28,4323,R
198,18,3533,R
199,2,5209,R
200,8,2065,R
201,2,9268,R-E
202,2,375,IR
152,18,4516,R
203,2,9258,R-E
204,2,5011,R
205,2,2044,R
156,21,8034,R
206,49,6447,R
207,2,4531,R
208,7,4301,R
118,14,9617,R
209,2,5423,R
210,14,2704,R
211,2,5435,R
212,18,9439,R
213,2,8004,R
214,50,9060,R
159,51,13401,R
215,2,9013,R
216,51,9491,R
217,28,4151,R
218,52,1635,IR
219,11,1665,IR
220,2,9902,R-E
146,15,8822,R
221,2,7939,R-M
75,2,7946,R-M
222,2,9004,R
169,2,5461,R
223,53,4365,R
224,2,4532,R
225,38,9504,R
226,43,4517,R
227,2,5574,R
21,2,4048,R
228,2,9163,R
229,2,4106,R
230,2,9572,R
231,11,1657,IR
232,31,1984,IR
233,2,2064,R
207,2,4537,R
234,21,8393,R
235,2,1061,R
236,2,3086,R
237,2,4514,R
238,2,2016,R-E
47,2,1588,IR
239,53,4076,R
240,2,2048,R
241,2,370,IR
242,2,2183,R
243,2,4452,R
244,2,74,IR
223,53,4071,R
245,2,2411,R
246,2,5431,R
247,2,347,IR-N
248,2,5219,R
249,2,4302,R
208,2,4303,R
250,2,9434,R
251,2,4110,R
252,2,9024,R
253,18,7570,R
254,20,2606,R
255,14,9557,R
256,2,9001,R
257,2,1632,IR
11,24,4317,R
26,18,9364,R
258,2,4507,R
259,31,1970,IR
260,11,1664,IR
261,2,5734,R
118,2,13317,R
262,28,9486,R
263,18,3532,R
264,2,6822,R
265,2,9619,R
266,2,2603,R
267,2,2046,R
268,2,2101,R
269,2,9907,R-E
270,2,1841,IR
271,21,8344,R
162,54,2860,R
272,2,5005,R-E
76,2,9164,R
273,28,2413,R
75,2,7922,R-M
274,2,5071,R
275,2,9106,R
276,2,9139,R
277,2,9210,R-E
278,55,2437,R
279,56,5622,R
280,2,3082,R
281,31,8660,R
282,2,2095,R
283,57,5712,R
92,2,7902,R-M
284,31,1914,IR
285,58,2222,R
286,2,4103,R
194,59,5627,R
109,31,8816,R
287,2,2212,R
288,2,5109,R
21,24,4050,R
289,60,5612,R
4,2,13405,R
290,2,4102,R
291,8,6314,R
169,2,5463,R
75,2,7918,R-M
292,2,4506,R
293,28,2076,R
75,2,7934,R-M
274,2,5073,R
294,2,5572,R
65,2,2209,R
295,15,8824,R
208,61,4305,R
161,28,4486,R
296,2,1062,R
297,2,8010,R
298,2,9373,R
39,2,7903,R-M
299,14,2707,R
10,1,9472,R
300,2,686,IR
301,28,9207,R-E
302,62,1530,IR
303,2,9608,R
44,21,8380,R
49,2,37630,R
304,63,5471,R
305,18,9352,R
306,2,1667,IR-N
307,22,4528,R
308,18,4522,R
309,2,3543,R
45,2,362,R
310,64,8206,R
86,65,7369,R
311,2,5051,R
312,2,552,IC
79,8,6451,R
313,28,4330,R
314,37,8369,R
97,66,4654,R
315,18,7362,R
316,7,6502,R
317,18,5004,R-E
74,2,5460,R
